8,573364,3
28,281729,3
48,554192,2
61,1945693,4
64,622194,4
66,1120581,2
92,236873,2
96,66568,2
111,165060,2
122,599628,3
123,525356,1
127,770945,2
145,1546535,5
154,2429449,3
156,340492,2
174,1850680,1
185,1227322,1
192,2092746,3
207,2282751,4
214,567025,4
218,236873,3
222,1945693,5
229,1466320,3
237,2021271,3
259,1673904,5
287,1664010,4
305,44734,3
318,706832,2
323,680132,3
336,1792741,3
359,831346,3
361,442222,3
380,303948,3
395,1977959,3
398,573364,3
409,1784150,2
417,1310250,3
452,1662735,2
481,2185614,3
507,1049643,5
510,300074,1
518,2487958,4
541,1978089,2
543,322178,1
557,1403217,1
577,738725,4
578,1725009,1
594,2250323,2
595,786312,3
606,403531,1
127,55555,3
442,55555,4
571,55555,4
